Coming Soon,,,,,
#,Development Name,Address,Property Website,Management Company,Public Phone #
143,YWCA Third Street,375 South 3rd Street,http://www.ywca-sv.org/contact/index.php,Seven Hills Properties,(408) 295-4011 ext. 200
,,,,,
Senior Housing,,,,,
#,Development Name,Address,Property Website,Management Company,Public Phone #
1,Arbor Terraces,2760 McKee Road,http://www.caremgt.com/arbor-terraces.html,"California Management Company, LLC",(408) 251-7570
2,Avenida Espana Gardens,181 Rawls Ct.,http://jsco.net/property/avenida-espaa-gardens/,John Stewart Company,(408) 972-5529
3,Belovida Apartments,1777 Newbury Park,http://www.belovidanewburypark.com/,"EAH,Inc.",(408) 263-8484
4,Brooks House Senior,655 Richmond Avenue,http://www.corpforbetterhousing.com/county_santaclara2.php,"Beacon Property Management, Inc",(408) 288-6108
5,Carlton Plaza,380 Branham Lane,http://www.carltonseniorliving.com/locations/carlton-plaza-san-jose/,Carlton Plaza of San Jose,(408) 972-1400
6,Casa del Pueblo,200 S. Market Street,http://www.barcelonseniorliving.com/p/senior_apartment/contact_us_5842/san-jose-ca-95113/casa-del-pueblo-5842?fullsite=1,Barcelon Associates Management,(408) 294-5380
7,Chai House I,814 St Elizabeth Dr,http://www.chaihouse.org/,John Stewart Company,(408) 947-1818
8,Corde Terra Village Senior,2600 Corde Terra Circle,http://www.roemcorp.com/projects/corde-terra-village/,FPI Management,(408) 298-9988
9,Craig Gardens Apartments,2580 South Bascom,http://www.firsthousing.com/contact/rental/,"Westlake Realty Group, Inc.",(408) 559-1907
10,Cypress Gardens Senior,3555 Judro Way,https://jscohacsc.com/property/cypress-gardens/,John Stewart Company,(408) 248-1442
11,De Rose Gardens,1401 DeRose Way,http://fpihacsc.com/property/derose-gardens/,FPI Management,(408) 993-0449
12,El Parador Senior,2565 South Bascom Avenue,https://jscohacsc.com/property/el-parador/,John Stewart Company,(408) 626-9262
13,Gadberry Court,2557 Alum Rock Avenue,http://www.roemcorp.com/projects/gadberry-courts/,FPI Management,(408) 928-2750
14,Girasol Seniors,1710 Alum Rock Ave.,No website,"FPI Management, Inc.",(408) 926-8140
15,Hacienda Creek Senior,399 East Court,http://www.roemcorp.com/projects/hacienda-creek/,FPI Management,(408) 885-0551
16,Hilltop Manor,790 Ironwood Drive,http://www.hilltopmanor.org/,"HIlltop Manor, Inc.",(408) 267-2929
17,Japantown Seniors,685 North 6th Street,http://www.firsthousing.com/cat/developments/,N/A,(408) 291-8650
18,Jardines Paloma Blanca,132 North Jackson Avenue,,"FPI Management, Inc.",(408) 937-4781
19,Jeanne D'Arc Manor,85 S. 5th Street,http://jsco.net/property/jeanne-darc-manor/,John Stewart Company,(408) 288-7421
20,Las Golondrinas,"77 KENTUCKY PL,",http://property.midpen-housing.org/PropertySearch,"FPI Management, Inc.",(408) 937-1135
21,Le Mirador,1191 Coleman Road and Almaden Expressway,http://www.caremgt.com/le-mirador.html,"California Management Company, LLC",(408) 268-9310
22,Lenzen Gardens Senior,893 Lenzen Avenue,https://jscohacsc.com/property/lenzen-gardens/,John Stewart Company,(408) 295-8440
23,Mabuhay,270 E. Empire Street,http://www.bridgehousing.com/properties/senior/santa-clara/san-jose/mabuhay,Seven Hills Properties,(408) 885-0448
24,Meadows,513 East Branham Lane,http://www.communityhousingsv.org/,C.H.D. PMS,(408) 279-7677
25,Miranda Villa,2094 Forest Avenue,http://www.caremgt.com/miranda-villa.html,"California Management Company, LLC",(408) 295-5581
26,Monte Vista Gardens Sr. Housing I,2605 La Hacienda Ct and S.Capitol Ave,http://www.roemcorp.com/projects/monte-vista-senior-i/,FPI Management,(408) 928-2750
27,Monte Vista Gardens Sr. Housing II,2600 Nuestra Castillo Ct and Capitol Ave,https://www.jamboreehousing.com/affordable-housing-communities/properties-list/monte-vista-gardens?vwr-type=Partner http://fpihacsc.com/property/morrone-gardens/,FPI Management,(408) 928-2750
